,Minify JavaScript,Avoid landing page redirects,Prioritize visible content,Brand,Minify HTML,Leverage browser caching,Reduce server response time,Optimize images,Eliminate render-blocking JavaScript and CSS in above-the-fold content,Minify CSS,Enable compression,Market
http://www.parodontax.com.hk,0.0,0.0,0.0,parodontax,0.1047,1.44444444444,0.0,8.0208,18.0,0.0,0.1567,hk
http://www.parodontax.com.tw,0.0,0.0,0.0,parodontax,0.1745,1.86111111111,0.0,3.658,18.0,0.0,0.2624,tw
http://www.physiogel.com/hk,0.0814,0.0,0.0,physiogel,0.1769,4.83958333333,0.0,0.1698,16.0,0.0,0.1545,hk
http://www.physiogel.com/my,0.0,0.0,0.0,physiogel,0.0942,1.48888888889,0.0,0.0847,16.0,0.0,0.0122,my
http://www.physiogel.com/ph,0.0,0.0,0.0,physiogel,0.159,2.40564814815,0.0,0.1698,16.0,0.0,0.1187,ph
http://www.physiogel.com/sg,0.0,0.0,0.0,physiogel,0.2439,3.83619212963,0.0,0.1698,16.0,0.0,0.154,sg
http://www.physiogel.com/th,0.0254,0.0,0.0,physiogel,0.1712,5.30487268519,0.0,0.1698,16.0,0.0,0.228,th
http://www.physiogel.com/vn,0.0,0.0,0.0,physiogel,0.1379,2.86395833333,0.0,0.0847,16.0,0.0,0.1469,vn
http://www.physiogel.hk,0.0814,7.0,0.0,physiogel,0.1769,4.83959490741,0.0,0.1698,16.0,0.0,0.1545,hk
http://www.proteinplus.horlicks.in,3.1598,0.0,0.0,proteinplus,0.0655,3.85069444444,0.0,1.6084,8.0,0.0,16.8516,in
http://www.scottskids.com/hk,0.0,0.0,0.0,scottskids,0.0655,4.43829861111,0.0,15.8964,14.0,0.0,0.1104,hk
http://www.scottskids.com/id,0.0,7.0,0.0,scottskids,0.0198,1.0,8.43,0.3082,2.0,0.06,0.1776,id
http://www.scottskids.com/my,0.0,0.0,0.0,scottskids,0.0655,4.00482638889,0.0,14.4888,14.0,0.0,0.1301,my
http://www.scottskids.com/ph,0.0,0.0,2.0,scottskids,0.0655,0.913194444444,0.0,2.5501,14.0,0.4377,0.1554,ph
http://www.scottskids.com/sg,0.0,0.0,0.0,scottskids,0.0655,4.1778587963,0.0,14.3958,14.0,0.0,0.1582,sg
http://www.sensodyne.cn,10.8725,0.0,0.0,sensodyne,0.0655,7.80753968254,0.0,10.1762,16.0,3.4814,0.1927,cn
http://www.sensodyne.co.id,0.0,0.0,0.0,sensodyne,0.0655,1.89236111111,0.0,0.1846,18.0,0.0,0.2335,id
http://www.sensodyne.co.kr,0.0,0.0,0.0,sensodyne,0.0655,1.40277777778,0.0,0.659,18.0,0.0,0.1179,kr
http://www.sensodyne.co.nz,8.1028,0.0,0.0,sensodyne,0.0655,0.913194444444,0.0,0.0,20.0,0.0,0.13,nz
http://www.sensodyne.co.th,0.0,0.0,0.0,sensodyne,0.0655,2.83333333333,0.0,0.0,20.0,0.0,0.1499,th
http://www.sensodyne.com.au,8.1028,0.0,0.0,sensodyne,0.0655,3.35972222222,0.0,0.0,20.0,0.0,0.1503,au
http://www.sensodyne.com.bd,0.0,0.0,0.0,sensodyne,0.0655,2.83333333333,0.0,0.2812,20.0,0.0,0.13,bd
http://www.sensodyne.com.hk,8.1028,0.0,0.0,sensodyne,0.0655,1.86111111111,0.0,0.659,18.0,0.0,0.13,hk
http://www.sensodyne.com.my,0.0,0.0,0.0,sensodyne,0.0655,1.40277777778,0.0,0.0,20.0,0.0,0.1301,my
http://www.sensodyne.com.ph,8.1028,0.0,0.0,sensodyne,0.0655,1.40277777778,0.0,0.0,20.0,0.0,0.1809,ph
http://www.sensodyne.com.pk,0.0,0.0,0.0,sensodyne,0.0655,1.40277777778,0.0,0.0,20.0,0.0,0.1179,pk
http://www.sensodyne.com.sg,8.1028,0.0,0.0,sensodyne,0.0,1.48611111111,0.0,0.0,20.0,0.0,0.0432,sg
http://www.sensodyne.com.tw,8.1028,0.0,0.0,sensodyne,0.0655,1.86111111111,0.0,0.659,18.0,0.0,0.1556,tw
http://www.sensodyne.com/vn,0.0,0.0,0.0,sensodyne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vn
http://www.sensodyne.in,0.093,0.0,0.0,sensodyne,0.0655,3.38194444444,0.0,0.0,20.0,0.0,0.1918,in
http://www.sensodyne.lk,0.0,0.0,0.0,sensodyne,0.0655,1.40277777778,0.0,0.0,20.0,0.0,0.0811,lk
http://www.sinecod.com.ph,0.0,0.0,0.0,sinecod,0.1183,1.97854166667,0.0,0.1237,10.0,0.0,0.1065,ph
http://www.voltaren.co.nz,0.0,0.0,0.0,voltaren,0.1429,1.89236111111,0.0,0.1746,8.0,0.0,0.1179,nz
http://www.voltaren.com.au,0.0,0.0,0.0,voltaren,0.1494,2.85,0.0,3.5495,12.0,0.0,0.148,au
http://www.women.horlicks.in,3.1598,0.0,0.0,women,0.0655,4.82291666667,0.0,1.5955,8.0,0.1106,16.8353,in
http://www.zovirax.co.nz,10.5483,0.0,0.0,zovirax,0.1495,1.90555555556,0.0,0.1145,10.0,0.0,0.1516,nz
http://www.zovirax.com.au,10.5483,0.0,0.0,zovirax,0.1671,4.83877149471,0.0,0.1145,10.0,0.0,0.141,au
